x,y
32.550209, 1.557587
32.587708, 1.603332
32.625206, 1.647180
32.662704, 1.689136
32.700203, 1.729208
32.737701, 1.767403
32.775200, 1.803734
32.812698, 1.838210
32.850197, 1.870845
32.887695, 1.901651
32.925194, 1.930642
32.962692, 1.957830
33.000191, 1.983228
33.037689, 2.006850
33.075188, 2.028706
33.112686, 2.048810
33.150185, 2.067171
33.187683, 2.083799
33.225182, 2.098705
33.262680, 2.111896
33.300179, 2.123379
33.337677, 2.133162
33.375175, 2.141248
33.412674, 2.147644
33.450172, 2.152350
33.487671, 2.155370
33.525169, 2.156704
33.562668, 2.156352
33.600166, 2.154313
33.637665, 2.150585
33.675163, 2.145165
33.712662, 2.138050
33.750160, 2.129234
33.787659, 2.118712
33.825157, 2.106479
33.862656, 2.092528
33.900154, 2.076852
33.937653, 2.059443
33.975151, 2.040294
34.012650, 2.019398
34.050148, 1.996748
34.087646, 1.972335
34.125145, 1.946152
34.162643, 1.918195
34.200142, 1.888455
34.237640, 1.856930
34.275139, 1.823617
34.312637, 1.788512
34.350136, 1.751616
34.387634, 1.712930
34.425133, 1.672458
34.462631, 1.630207
34.500130, 1.586184
34.537628, 1.540403
34.575127, 1.492878
34.612625, 1.443629
34.650124, 1.392678
34.687622, 1.340051
34.725121, 1.285782
34.762619, 1.229904
34.800117, 1.172459
34.837616, 1.113494
34.875114, 1.053058
34.912613, 0.991208
34.950111, 0.928006
34.987610, 0.863519
35.025108, 0.797819
35.062607, 0.730983
35.100105, 0.663094
35.137604, 0.594238
35.175102, 0.524506
35.212601, 0.453994
35.250099, 0.382800
35.287598, 0.311027
35.325096, 0.238777
35.362595, 0.166158
35.400093, 0.093276
35.437592, 0.020238
35.475090, -0.052849
35.512589, -0.125877
35.550087, -0.198743
35.587585, -0.271344
35.625084, -0.343581
35.662582, -0.415356
35.700081, -0.486580
35.737579, -0.557164
35.775078, -0.627024
35.812576, -0.696084
35.850075, -0.764273
35.887573, -0.831523
35.925072, -0.897774
35.962570, -0.962972
36.000069, -1.027069
36.037567, -1.090021
36.075066, -1.151791
36.112564, -1.212348
36.150063, -1.271665
36.187561, -1.329722
36.225060, -1.386503
36.262558, -1.441994
36.300056, -1.496189
36.337555, -1.549083
36.375053, -1.600678
36.412552, -1.650975
36.450050, -1.699979
36.487549, -1.747700
36.525047, -1.794149
36.562546, -1.839337
36.600044, -1.883278
36.637543, -1.925989
36.675041, -1.967485
36.712540, -2.007785
36.750038, -2.046906
36.787537, -2.084867
36.825035, -2.121686
36.862534, -2.157383
36.900032, -2.191977
36.937531, -2.225485
36.975029, -2.257926
37.012527, -2.289319
37.050026, -2.319679
37.087524, -2.349024
37.125023, -2.377369
37.162521, -2.404729
37.200020, -2.431119
37.237518, -2.456552
37.275017, -2.481040
37.312515, -2.504594
37.350014, -2.527225
37.387512, -2.548943
37.425011, -2.569755
37.462509, -2.589668
37.500008, -2.608690
37.537506, -2.626824
37.575005, -2.644076
37.612503, -2.660449
37.650002, -2.675943
37.687500, -2.690562
37.724998, -2.704304
37.762497, -2.717169
37.799995, -2.729155
37.837494, -2.740259
37.874992, -2.750477
37.912491, -2.759805
37.949989, -2.768236
37.987488, -2.775765
38.024986, -2.782383
38.062485, -2.788083
38.099983, -2.792856
38.137482, -2.796690
38.174980, -2.799576
38.212479, -2.801502
38.249977, -2.802456
38.287476, -2.802424
38.324974, -2.801392
38.362473, -2.799347
38.399971, -2.796272
38.437469, -2.792152
38.474968, -2.786969
38.512466, -2.780707
38.549965, -2.773348
38.587463, -2.764872
38.624962, -2.755260
38.662460, -2.744494
38.699959, -2.732551
38.737457, -2.719412
38.774956, -2.705054
38.812454, -2.689455
38.849953, -2.672594
38.887451, -2.654446
38.924950, -2.634990
38.962448, -2.614201
38.999947, -2.592055
39.037445, -2.568528
39.074944, -2.543597
39.112442, -2.517236
39.149940, -2.489420
39.187439, -2.460127
39.224937, -2.429332
39.262436, -2.397010
39.299934, -2.363140
39.337433, -2.327697
39.374931, -2.290662
39.412430, -2.252012
39.449928, -2.211727
39.487427, -2.169791
39.524925, -2.126186
39.562424, -2.080897
39.599922, -2.033913
39.637421, -1.985223
39.674919, -1.934820
39.712418, -1.882701
39.749916, -1.828865
39.787415, -1.773315
39.824913, -1.716058
39.862411, -1.657109
39.899910, -1.596483
39.937408, -1.534202
39.974907, -1.470297
40.012405, -1.404800
40.049904, -1.337753
40.087402, -1.269202
40.124901, -1.199203
40.162399, -1.127815
40.199898, -1.055106
40.237396, -0.981151
40.274895, -0.906033
40.312393, -0.829839
40.349892, -0.752663
40.387390, -0.674609
40.424889, -0.595781
40.462387, -0.516292
40.499886, -0.436259
40.537384, -0.355799
40.574883, -0.275039
40.612381, -0.194100
40.649879, -0.113111
40.687378, -0.032197
40.724876, 0.048515
40.762375, 0.128901
40.799873, 0.208840
40.837372, 0.288212
40.874870, 0.366904
40.912369, 0.444806
40.949867, 0.521813
40.987366, 0.597826
41.024864, 0.672755
41.062363, 0.746514
41.099861, 0.819025
41.137360, 0.890217
41.174858, 0.960027
41.212357, 1.028399
41.249855, 1.095282
41.287354, 1.160634
41.324852, 1.224419
41.362350, 1.286609
41.399849, 1.347179
41.437347, 1.406111
41.474846, 1.463393
41.512344, 1.519017
41.549843, 1.572979
41.587341, 1.625279
41.624840, 1.675922
41.662338, 1.724913
41.699837, 1.772263
41.737335, 1.817984
41.774834, 1.862089
41.812332, 1.904593
41.849831, 1.945513
41.887329, 1.984867
41.924828, 2.022671
41.962326, 2.058946
41.999825, 2.093710
42.037323, 2.126980
42.074821, 2.158775
42.112320, 2.189114
42.149818, 2.218014
42.187317, 2.245493
42.224815, 2.271565
42.262314, 2.296246
42.299812, 2.319551
42.337311, 2.341492
42.374809, 2.362082
42.412308, 2.381331
42.449806, 2.399250
42.487305, 2.415847
42.524803, 2.431128
42.562302, 2.445101
42.599800, 2.457770
42.637299, 2.469139
42.674797, 2.479210
42.712296, 2.487983
42.749794, 2.495460
42.787292, 2.501639
42.824791, 2.506517
42.862289, 2.510091
42.899788, 2.512355
42.937286, 2.513304
42.974785, 2.512931
43.012283, 2.511226
43.049782, 2.508182
43.087280, 2.503789
43.124779, 2.498034
43.162277, 2.490906
43.199776, 2.482392
43.237274, 2.472478
43.274773, 2.461149
43.312271, 2.448390
43.349770, 2.434185
43.387268, 2.418517
43.424767, 2.401369
43.462265, 2.382724
43.499763, 2.362563
43.537262, 2.340869
43.574760, 2.317622
43.612259, 2.292804
43.649757, 2.266398
43.687256, 2.238384
43.724754, 2.208745
43.762253, 2.177462
43.799751, 2.144521
43.837250, 2.109903
43.874748, 2.073595
43.912247, 2.035582
43.949745, 1.995853
43.987244, 1.954398
44.024742, 1.911208
44.062241, 1.866277
44.099739, 1.819603
44.137238, 1.771184
44.174736, 1.721023
44.212234, 1.669129
44.249733, 1.615510
44.287231, 1.560181
44.324730, 1.503163
44.362228, 1.444478
44.399727, 1.384157
44.437225, 1.322235
44.474724, 1.258753
44.512222, 1.193756
44.549721, 1.127299
